user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
47043733,Adios 2015 / Adieu Fossil Fuels...con los mejores deseos.:  https://t.co/761KzR5U0H,Fernando Comas,47043733,fecove,1, Asturias España, Asturias España,User location,
14304664,Temperature went above zero at the North Pole today. Keep burning those fossil fuels & voting for tax cuts everyone. https://t.co/pMhTsMmVMK,Cameron MacLeod 🇨🇦🏳️‍🌈🚊👨‍👨‍👦,14304664,c_9,1,"Toronto, most of the time.","Toronto, most of the time.",User location,
63508890,"Beef = a hummer at 12 mpg, pork = a hybrid at 40 mpg, and chicken = a smart car at 60 mpg. Food = Fossil Fuels https://t.co/JgMXrAdqSG",Jacob Alhadeff,63508890,Jacob_Alhadeff,1,"Seattle, WA","Seattle, WA",User location, Washington
16645396,"@business Marc is stupid, buy S&P500 less fossil fuels (there is an ETF for that)",Will in Seattle,16645396,WillSeattle,1,Seattle,Seattle,User location, Washington
71849044,RT @ClimateReality: Fossil fuels are a bust. Clean energy is right on the money. Retweet if you agree with @Schwarzenegger! https://t.co/yd…,Sean Bond,71849044,iam_seanbond,1,This Place Called Earth,This Place Called Earth,User location,
612484218,RT @ClimateReality: Fossil fuels are a bust. Clean energy is right on the money. Retweet if you agree with @Schwarzenegger! https://t.co/yd…,freiky,612484218,AAAopinion,1,Armidale,Armidale,User location,
773145516,RT @ClimateReality: Fossil fuels are a bust. Clean energy is right on the money. Retweet if you agree with @Schwarzenegger! https://t.co/yd…,✧ Marizzapan ✧,773145516,DemocratsCare,1,Be the change you want to see. INFJ,Be the change you want to see. INFJ,User location,
1921489896,RT @ClimateReality: Fossil fuels are a bust. Clean energy is right on the money. Retweet if you agree with @Schwarzenegger! https://t.co/yd…,Chuck Bujno,1921489896,ChuckBujno,1,pennsylvania,pennsylvania,User location,Pennsylvania
3013647033,"RT @DineshDSouza: Obama, taking a joyride to Hawaii on Air Force One, pontificates about why we must not use fossil fuels in our cars https…",✝🇺🇸💪,3013647033,blitzburgh75,1,Coastal South Carolina,Coastal South Carolina,User location,South Carolina
5215,Fossil fuels primer - and the story of Tesla https://t.co/WIfBofJAoP,naveen,5215,naveen,1,New York,New York,User location, New York
58673389,"@MarionetteMew better, but the point was not is it better than coal but that in general our reliance on fossil fuels can't last forever",Layla L'obatti,58673389,LingerieLayla,1,Hudson Valley NY,Hudson Valley NY,User location, New York
2298702147,"RT @DrJillStein: As world's richest country, US could be world leader in clean renewable energy if we ended political power of fossil fuels…",Orion Pax,2298702147,dasoulcontrolla,1,"Florida, USA","Florida, USA",User location,Florida
111991286,"RT @jen_keesmaat: As we seek to become less dependent on fossil fuels, we have the opportunity to reimagine our cities. https://t.co/8xDtP6…",Jacob Pendergrast,111991286,apothecaryman,1,"Toronto, Ontario","Toronto, Ontario",User location,
544578960,Nations can't force each other to stop using #fossil fuels but want to reduce the risks posed by #climatechange. https://t.co/NaN4rSZyh2,Sonen Capital,544578960,sonencapital,1,"San Francisco, CA","San Francisco, CA",User location,
4288338616,Opinion: End of fossil fuels https://t.co/1Sh0BdYTbZ #MacysParade #Breaking #indiedev #BlackFriday #Amazon #ad,#blackfriday Amazon,4288338616,RatesNews,1,Global ,Global ,User location,
14747430,RT @NewClimateEcon: More #renewables are now added to global electricity generation than fossil fuels https://t.co/PVJKfP8zgp https://t.co/…,Nurture Nature (Heather Ferris),14747430,NNUS,1,"Connecticut, USA","Connecticut, USA",User location,Connecticut
